name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
d3plus-text,A smart SVG text box with line wrapping and automatic font size scaling.,https://avatars.githubusercontent.com/u/13490477?v=4,https://github.com/d3plus/d3plus-text,104,2015-08-16T01:19:27Z,2024-07-10T13:52:12Z,2024-03-26T15:22:13Z
graph-scroll,scrollers > steppers ,https://avatars.githubusercontent.com/u/1643998?v=4,https://github.com/1wheel/graph-scroll,509,2014-12-27T08:58:31Z,2024-07-10T13:50:25Z,2020-03-21T23:38:05Z
mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,https://avatars.githubusercontent.com/u/57169982?v=4,https://github.com/mermaid-js/mermaid,70046,2014-11-01T23:52:32Z,2024-08-18T06:23:06Z,2024-08-17T14:56:07Z
netvis,d3.js-based tool to visualize network communication for arbitrary protocols,https://avatars.githubusercontent.com/u/816895?v=4,https://github.com/dborzov/netvis,17,2014-10-27T01:03:14Z,2024-07-10T13:50:49Z,2015-02-20T03:59:13Z
treeviz,Tree diagrams with JavaScript :evergreen_tree: :chart_with_upwards_trend:,https://avatars.githubusercontent.com/u/26744253?v=4,https://github.com/PierreCapo/treeviz,158,2018-06-10T17:23:40Z,2024-08-16T19:07:25Z,2024-04-03T19:05:28Z
twitter-sentiment-visualisation,"🌍 Sentiment analysis over real-time social media data, rendering live charts to visualise trends ",https://avatars.githubusercontent.com/u/1862727?v=4,https://github.com/Lissy93/twitter-sentiment-visualisation,208,2015-07-24T09:25:24Z,2024-08-12T19:18:27Z,2023-11-04T11:58:40Z
d3-node,Server-side D3 for static chart/map generation ✨📊,https://avatars.githubusercontent.com/u/26352883?v=4,https://github.com/d3-node/d3-node,683,2016-07-13T21:06:21Z,2024-08-17T13:36:01Z,2024-06-18T21:47:07Z
Kyrix,Interactive details-on-demand data visualizations at scale,https://avatars.githubusercontent.com/u/5410441?v=4,https://github.com/tracyhenry/Kyrix,146,2017-12-20T18:28:26Z,2024-07-20T07:23:49Z,2023-06-22T17:15:54Z
echarts,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",https://avatars.githubusercontent.com/u/47359?v=4,https://github.com/apache/echarts,59939,2013-04-03T03:18:59Z,2024-08-18T06:15:06Z,2024-08-15T04:04:44Z
tremor,React components to build charts and dashboards,https://avatars.githubusercontent.com/u/97241560?v=4,https://github.com/tremorlabs/tremor,16040,2022-04-19T20:54:32Z,2024-08-17T22:17:56Z,2024-08-15T19:11:58Z
