name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
dTree,"A library for visualizing data trees with multiple parents, such as family trees. Built on top of D3.",https://avatars.githubusercontent.com/u/3374401?v=4,https://github.com/ErikGartner/dTree,516,2015-12-23T16:06:39Z,2024-08-15T00:24:15Z,2024-05-14T09:32:56Z
EventDrops,A time based / event series interactive visualization using d3.js,https://avatars.githubusercontent.com/u/3116319?v=4,https://github.com/marmelab/EventDrops,1242,2014-09-16T08:14:58Z,2024-08-05T05:27:56Z,2023-03-18T08:29:41Z
metrics-graphics,A library optimized for concise and principled data graphics and layouts.,https://avatars.githubusercontent.com/u/37669658?v=4,https://github.com/metricsgraphics/metrics-graphics,7464,2014-05-01T18:25:52Z,2024-08-04T23:33:48Z,2022-05-31T15:05:59Z
micropolar,A tiny polar charts library made with D3.js,https://avatars.githubusercontent.com/u/824534?v=4,https://github.com/biovisualize/micropolar,125,2013-09-20T14:03:25Z,2024-05-25T19:07:44Z,2024-05-25T19:20:06Z
mpld3,An interactive data visualization tool which brings matplotlib graphics to the browser using D3.,https://avatars.githubusercontent.com/u/6522021?v=4,https://github.com/mpld3/mpld3,2344,2013-12-18T01:48:30Z,2024-08-11T19:40:30Z,2024-01-11T18:01:50Z
neo4jd3,Neo4j graph visualization using D3.js,https://avatars.githubusercontent.com/u/1325977?v=4,https://github.com/eisman/neo4jd3,1362,2016-09-11T12:43:04Z,2024-08-15T08:35:20Z,2021-04-24T20:38:43Z
nvd3,A reusable charting library written in d3.js,https://avatars.githubusercontent.com/u/293390?v=4,https://github.com/novus/nvd3,7218,2012-11-15T18:51:59Z,2024-08-14T20:27:41Z,2023-09-15T20:36:03Z
oecd-simple-charts,A lightweight charting tool,https://avatars.githubusercontent.com/u/30502708?v=4,https://github.com/oecd-cyc/oecd-simple-charts,19,2018-02-18T14:55:24Z,2024-01-28T14:52:14Z,2022-12-09T04:52:50Z
plotly.js,Open-source JavaScript charting library behind Plotly and Dash,https://avatars.githubusercontent.com/u/5997976?v=4,https://github.com/plotly/plotly.js,16798,2015-11-05T23:27:17Z,2024-08-17T21:21:02Z,2024-08-17T22:25:51Z
plottable,:bar_chart: A library of modular chart components built on D3,https://avatars.githubusercontent.com/u/303157?v=4,https://github.com/palantir/plottable,2962,2014-01-22T19:29:19Z,2024-08-17T14:01:36Z,2023-08-03T14:04:53Z
rickshaw, JavaScript toolkit for creating interactive real-time graphs,https://avatars.githubusercontent.com/u/589896?v=4,https://github.com/shutterstock/rickshaw,6532,2011-10-20T22:02:37Z,2024-08-08T15:19:06Z,2024-03-26T10:26:39Z
tauCharts,D3 based data-focused charting library. Designed with passion. Flexible.,https://avatars.githubusercontent.com/u/649085?v=4,https://github.com/TargetProcess/tauCharts,1916,2014-01-17T09:03:30Z,2024-08-13T08:43:46Z,2023-10-04T14:07:25Z
vega,A visualization grammar.,https://avatars.githubusercontent.com/u/11796929?v=4,https://github.com/vega/vega,11022,2013-02-03T18:36:30Z,2024-08-18T01:52:12Z,2024-08-09T14:19:43Z
vega-lite,"A concise grammar of interactive graphics, built on Vega.",https://avatars.githubusercontent.com/u/11796929?v=4,https://github.com/vega/vega-lite,4588,2014-11-20T20:52:04Z,2024-08-17T09:18:29Z,2024-08-14T09:10:30Z
vega-lite-api,A JavaScript API for Vega-Lite.,https://avatars.githubusercontent.com/u/11796929?v=4,https://github.com/vega/vega-lite-api,211,2019-03-22T22:16:49Z,2024-07-08T00:58:53Z,2023-05-08T06:57:09Z
venn.js,Area proportional Venn and Euler diagrams in JavaScript,https://avatars.githubusercontent.com/u/69536?v=4,https://github.com/benfred/venn.js,1035,2013-05-09T17:13:20Z,2024-08-13T21:09:07Z,2021-01-16T06:21:00Z
visavail,A D3.js Time Data Availability Visualization,https://avatars.githubusercontent.com/u/9593883?v=4,https://github.com/flrs/visavail,308,2016-06-07T13:45:12Z,2024-07-31T17:11:18Z,2021-07-26T11:51:17Z
